公司名称,研报文件路径,是否上传飞书,是否生成研报,message_id
杭州士兰微电子股份有限公司,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/杭州士兰微电子股份有限公司_20260316_224014_report.md,是,是,om_x100b58b511db50a0c2e06deda138529
地平线机器人,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/地平线机器人_20260316_224437_report.md,是,是,om_x100b54b52134b8acc141b85d194565c
三花智控,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/三花智控_20260316_230505_report.md,是,是,om_x100b54b5f275153cc4da27f57a1b95f
华工科技,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/华工科技_20260316_231716_report.md,是,是,om_x100b54b5a79734a0c45d15c033f3185
长电科技,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/长电科技_20260316_233857_report.md,是,是,om_x100b54b675eed8a4b2bb2bda5936270
德马科技,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/德马科技_20260317_103545_report.md,是,是,om_x100b54bf97a2a0b4c4a98e5cd90f25d
酷睿程,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/酷睿程_20260317_131353_report.md,是,是,om_x100b54ba656d504cc3b30da0b2d495d
地瓜机器人,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/地瓜机器人_20260317_131731_report.md,是,是,om_x100b54ba763e250cc39b80838ae548f
中信证券,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/中信证券_20260317_170227_report.md,是,是,om_x100b54a563316c80c4c4ee5403841a6
中衡设计,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/中衡设计_20260317_210704_report.md,是,是,om_x100b54a1549f34b4c3505d06af9fb85
东山精密,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/东山精密_20260426_155440_report.md,是,是,om_x100b524fc2e424b0b3f21a8fd239d07
水发燃气,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/水发燃气_20260426_155730_report.md,是,是,om_x100b51e81cadd138b3524f5cd39d7c4
海泰新光,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/海泰新光_20260426_160058_report.md,是,是,om_x100b51e81372e4acb3c1347bb39bcd4
中际旭创,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/中际旭创_20260426_231524_report.md,是,是,om_x100b51d6f58fe4a8b4c05f5c4319a80
拓荆科技,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/拓荆科技_20260429_231744_report.md,是,是,om_x100b501642a18ca8b3d4f0c4730736c
亨通光电,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/亨通光电_20260430_072914_report.md,是,是,om_x100b501d71b9cca8b2718277957e168
立讯精密,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/立讯精密_20260430_073246_report.md,是,是,om_x100b501d0226c0a4b48a40372b69ae9
上海沪工,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/上海沪工_20260430_213243_report.md,是,是,om_x100b5001d452a4a8b4c853242cebfb5
兆威机电,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/兆威机电_20260501_110800_report.md,是,是,om_x100b5075c46a28b0c21e5629e7d2934
鸣志电器,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/鸣志电器_20260501_111356_report.md,是,是,om_x100b5075efb534a8b21df494765b481
海默科技,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/海默科技_20260501_151101_report.md,是,是,om_x100b5071577a68a4b2afd4549e9aad9
寒武纪,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/寒武纪_20260501_185152_report.md,是,是,om_x100b507c1873e0acc362a4224e00bb3
寒武纪,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/寒武纪_20260506_211827_report.md,是,是,om_x100b5085b28ba8a8c3890f60508be94
佰维存储,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/佰维存储_20260506_212237_report.md,是,是,om_x100b50804af004a0b2a52fa448d9c17
佰维存储,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/佰维存储_20260506_215002_report.md,是,是,om_x100b508024bc5cb0b1025a40447dbfc
江波龙,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/江波龙_20260506_220914_report.md,是,是,om_x100b5080fc521d3cb2170859a9cadcd
英诺赛科,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/英诺赛科_20260507_182534_report.md,是,是,om_x100b50f2cc2fd8a8c3cdcb84ccebb13
黑芝麻智能,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/黑芝麻智能_20260507_183620_report.md,是,是,om_x100b50f2e5a3ec94c28ed7d906bd1c2
AXT inc,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/AXT_inc_20260508_220809_report.md,是,是,om_x100b50ea900924b4b29550bc1ddbc90
天合光能,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/天合光能_20260509_143958_report.md,是,是,om_x100b50d928ead4b8b3e21f970d9e8d9
天岳先进,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/天岳先进_20260511_121829_report.md,是,是,om_x100b6f21cc9848b0b305b082557c3e8
德明利,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/德明利_20260511_123115_report.md,是,是,om_x100b6f21fd2ad4acb1988ef209c5c31
大唐发电,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/大唐发电_20260511_215935_report.md,是,是,om_x100b6f2a49884ca0b290c23e6d44fb7
盐湖股份,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/盐湖股份_20260513_104617_report.md,是,是,om_x100b6f0a14e7c0b4c33bb9aeabe03a3
中科电气,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/中科电气_20260513_195829_report.md,是,是,om_x100b6f723e75f0acc10a9ca2215c0a8
莱斯信息,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/莱斯信息_20260514_081742_report.md,是,是,om_x100b6f650a4120a0c3c37d40295e29d
大唐发电,/home/admin/code/cc-connect-work-space/ashare_monitor/company_analyze/invest_community/tools/company_report/reports/大唐发电_20260514_164342_report.md,是,是,om_x100b6f6ce3b2b894c4d8e3857960f92
